date,vacinas_parcialNovas,localidade,vacinas_completasNovas,vacinas_parcialAcumulados,vacinas_completasAcumulados,vacinas_parcialNovas_100k,vacinas_parcialAcumulados_100k,vacinas_completasNovas_100k,vacinas_completasAcumulados_100k,codigo_reg
2021-01-19,91.0,Apucarana,0.0,91.0,0.0,23.49,23.49,0.0,0.0,16
2021-01-20,1409.0,Apucarana,1.0,1500.0,1.0,363.69,387.18,0.26,0.26,16
2021-01-21,794.0,Apucarana,7.0,2294.0,8.0,204.95,592.13,1.81,2.06,16
2021-01-22,370.0,Apucarana,1.0,2664.0,9.0,95.51,687.64,0.26,2.32,16
2021-01-23,6.0,Apucarana,0.0,2670.0,9.0,1.55,689.19,0.0,2.32,16
2021-01-24,2.0,Apucarana,0.0,2672.0,9.0,0.52,689.7,0.0,2.32,16
2021-01-25,1114.0,Apucarana,1.0,3786.0,10.0,287.55,977.25,0.26,2.58,16
2021-01-26,707.0,Apucarana,5.0,4493.0,15.0,182.49,1159.74,1.29,3.87,16
2021-01-27,389.0,Apucarana,0.0,4882.0,15.0,100.41,1260.15,0.0,3.87,16
2021-01-28,340.0,Apucarana,1.0,5222.0,16.0,87.76,1347.91,0.26,4.13,16
2021-01-29,278.0,Apucarana,0.0,5500.0,16.0,71.76,1419.67,0.0,4.13,16
2021-01-30,3.0,Apucarana,0.0,5503.0,16.0,0.77,1420.44,0.0,4.13,16
2021-01-31,0.0,Apucarana,0.0,5503.0,16.0,0.0,1420.44,0.0,4.13,16
2021-02-01,191.0,Apucarana,0.0,5694.0,16.0,49.3,1469.75,0.0,4.13,16
2021-02-02,75.0,Apucarana,3.0,5769.0,19.0,19.36,1489.1,0.77,4.9,16
2021-02-03,202.0,Apucarana,0.0,5971.0,19.0,52.14,1541.25,0.0,4.9,16
2021-02-04,113.0,Apucarana,0.0,6084.0,19.0,29.17,1570.41,0.0,4.9,16
2021-02-05,112.0,Apucarana,0.0,6196.0,19.0,28.91,1599.32,0.0,4.9,16
