sexo,idade,casosAcumulados,obitosAcumulados,localidade
f,0-4,0.8,0.0,Curitiba
f,10-14,1.2,0.0,Curitiba
f,15-19,2.6,0.0,Curitiba
f,20-24,5.0,0.1,Curitiba
f,25-29,5.7,0.3,Curitiba
f,30-34,5.7,0.4,Curitiba
f,35-39,5.9,0.7,Curitiba
f,40-44,5.6,1.1,Curitiba
f,45-49,4.8,1.7,Curitiba
f,5-9,0.8,0.0,Curitiba
f,50-54,4.4,2.6,Curitiba
f,55-59,3.7,3.5,Curitiba
f,60-64,2.8,4.7,Curitiba
f,65-69,1.9,6.4,Curitiba
f,70-74,1.3,5.7,Curitiba
f,75-79,0.8,5.4,Curitiba
f,80+,1.1,10.9,Curitiba
m,0-4,0.9,0.0,Curitiba
m,10-14,1.0,0.0,Curitiba
m,15-19,2.2,0.1,Curitiba
m,20-24,4.3,0.2,Curitiba
m,25-29,4.8,0.3,Curitiba
m,30-34,5.0,0.5,Curitiba
m,35-39,5.2,1.5,Curitiba
m,40-44,4.7,2.1,Curitiba
m,45-49,4.0,3.1,Curitiba
m,5-9,0.8,0.0,Curitiba
m,50-54,3.7,4.0,Curitiba
m,55-59,3.1,5.7,Curitiba
m,60-64,2.2,7.0,Curitiba
m,65-69,1.7,7.7,Curitiba
m,70-74,1.1,7.2,Curitiba
m,75-79,0.7,6.5,Curitiba
m,80+,0.7,10.4,Curitiba
f,0-4,0.8,0.0,DSBN
f,10-14,1.3,0.0,DSBN
f,15-19,2.9,0.2,DSBN
f,20-24,5.6,0.0,DSBN
f,25-29,5.7,0.2,DSBN
f,30-34,5.5,0.8,DSBN
f,35-39,5.8,0.4,DSBN
f,40-44,5.6,1.9,DSBN
f,45-49,5.3,1.7,DSBN
f,5-9,0.9,0.0,DSBN
f,50-54,4.7,2.5,DSBN
f,55-59,3.5,3.7,DSBN
f,60-64,2.8,5.0,DSBN
f,65-69,1.8,8.5,DSBN
f,70-74,1.1,6.4,DSBN
f,75-79,0.6,4.1,DSBN
f,80+,0.8,9.1,DSBN
m,0-4,1.1,0.0,DSBN
m,10-14,1.1,0.0,DSBN
m,15-19,2.7,0.0,DSBN
m,20-24,5.0,0.2,DSBN
m,25-29,4.7,0.4,DSBN
m,30-34,4.7,0.6,DSBN
m,35-39,4.4,2.3,DSBN
m,40-44,4.4,2.9,DSBN
m,45-49,4.0,3.7,DSBN
m,5-9,0.9,0.0,DSBN
m,50-54,3.6,3.5,DSBN
m,55-59,2.8,5.8,DSBN
m,60-64,2.0,6.4,DSBN
m,65-69,1.6,8.9,DSBN
m,70-74,0.9,6.2,DSBN
m,75-79,0.6,7.2,DSBN
m,80+,0.5,7.4,DSBN
f,0-4,0.6,0.0,DSBQ
f,10-14,1.1,0.0,DSBQ
f,15-19,2.9,0.0,DSBQ
f,20-24,4.9,0.0,DSBQ
f,25-29,5.5,0.0,DSBQ
f,30-34,5.3,0.6,DSBQ
f,35-39,5.6,0.8,DSBQ
f,40-44,5.6,0.9,DSBQ
f,45-49,4.8,2.5,DSBQ
f,5-9,0.7,0.0,DSBQ
f,50-54,4.6,2.7,DSBQ
f,55-59,3.9,4.1,DSBQ
f,60-64,2.7,4.7,DSBQ
f,65-69,2.1,6.9,DSBQ
f,70-74,1.5,6.1,DSBQ
f,75-79,0.9,4.8,DSBQ
f,80+,1.3,9.7,DSBQ
m,0-4,0.8,0.0,DSBQ
m,10-14,1.1,0.0,DSBQ
m,15-19,2.2,0.0,DSBQ
m,20-24,4.3,0.0,DSBQ
m,25-29,4.6,0.2,DSBQ
m,30-34,4.9,0.0,DSBQ
m,35-39,5.1,1.6,DSBQ
m,40-44,4.6,2.0,DSBQ
